X,Y,OBJECTID,STATUS,ASSET_ID,ASSET_NAME,ASSET_ADDR,SITE_NAME,SITE_CODE,SHAREBLDG_ASSETID,SHAREBLDG_NOTE,ASSET_GROUP1,ASSET_GROUP2,ASSET_TYPE,ASSET_SUBTYPE1,ASSET_SUBTYPE2,ASSET_SUBT1_DESC,CITYOWNED,CITYUSE_DESC,OCCUPANT,MAINTAINEDBY,OPA_ID,OPA_OWNER,BLDG_SQFT,BLDG_SQFTUSE,BLDG_FL,BLDG_YR,SITE_ACRES,SERVING_TYPE,PCPC_DIST,COUNCIL_DIST,BLDG_AGE,URL,SITE_CODE2
-75.236664830108182,39.889557538814408,1006,A,425,PHL - Dept Aviation Facility-office,8500 ESSINGTON AVE,PHL,42121E,,,Airports,,Building,Airport Terminal\Hanger,,Airport Terminal\Hanger,Y,Owned,PHL,PHL,773300001,CITY OF PHILA,,,,,685.491211,M,Lower Southwest,2,,,
-75.236679568430176,39.889497313300474,1007,A,426,PHL - Dept Aviation Facility-storage,8500 ESSINGTON AVE,PHL,42122E,,,Airports,,Building,Warehouse,,Warehouse,Y,Owned,PHL,PHL,773300001,CITY OF PHILA,,,,,685.491211,M,Lower Southwest,2,,,
-75.236746253150471,39.889201515518408,1008,A,427,PHL - Terminal One,8500 ESSINGTON AVE,PHL,42124E,,,Airports,,Building,Airport Terminal\Hanger,,Airport Terminal\Hanger,Y,Owned,PHL,PHL,773300001,CITY OF PHILA,,,,,685.491211,M,Lower Southwest,2,,,
-74.984339078598268,40.054155744071615,1009,A,430,Parking Lot - Torresdale Station,9600 JAMES ST,Parking Lot - Torresdale Station,20423E,,,Transit and Transporation,,Land,Parking Lot,,Parking Lot,Y,Owned,Public use,PPA,652401205,CITY OF PHILA,,,,,1.081244,C,North Delaware,6,,,
-75.167423271319905,39.903910631331286,1010,A,479,Parking Lot - Sports Complex (11th/Pattison),1020 PATTISON AVE,Parking Lot Sports Complex (11th/Pattison),,,,Transit and Transporation,,Land,Parking Lot,,Parking Lot,Y,Lessor,Sports Complex District,Sports Complex District,788022000,CITY OF PHILA,,,,2006,42.498852,C,Lower South,2,10,,
-75.004949592488828,40.054312088378964,1011,A,491,Fire Engine 46,9197 FRANKFORD AVE,Fire Engine 46,13046E,,,Public Safety All,Fire Dept,Building,Fire Station,,Fire Station,Y,Owned,FIRE,DPP,786153100,CITY OF PHILA,6100,100,1,1966,0.409022,C,North Delaware,6,50,,
-75.20650345523687,39.972659376533962,1012,A,506,East Parkside Tot Lot,1104 N 41ST ST,East Parkside Tot Lot,16676E,,,Parks and Recreation All,Recreational Resources,Equipment,Playground,,Playground Equipment,Y,Owned,Public use,,062256510,CITY OF PHILA,,,,,0.040381,C,West Park,3,,,
-75.240470261267035,39.982010926430178,1013,A,1965,Tustin Playground,5901-29 W COLUMBIA AVE,Tustin Playground,,,,Parks and Recreation All,Recreational Resources,Land,Recreation Center,Programmed Recreation,Recreation Center,Y,Owned,Public use,PPR,783098800,CITY OF PHILA,,,,,4.333074,C,West,4,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=843,
-75.18931044001431,39.931315309328987,1014,A,1966,Vare Recreation Center,2600 MORRIS ST,Vare Recreation Center,,,,Parks and Recreation All,Recreational Resources,Land,Recreation Center,Programmed Recreation,Recreation Center,Y,Owned,Public use,PPR,782337825,CITY OF PHILA,,,,,4.103276,C,South,2,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=844,
-75.049498287458988,40.029207024350285,1015,A,1968,Vogt Recreation Center,4131 UNRUH AVE,Vogt Recreation Center,,,,Parks and Recreation All,Recreational Resources,Land,Recreation Center,Programmed Recreation,Recreation Center,Y,Owned,Public use,PPR,786544700,CITY OF PHILA,,,,,15.946870,C,North Delaware,6,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=846,
